feature,classifier,fold,accuracy,low_recall,med_recall,high_recall
Codon identity,RF,1,0.7185821697099892,0.5442043222003929,0.6933962264150944,0.8129084967320261
Codon identity,RF,2,0.7300393841747225,0.5795677799607073,0.6886792452830188,0.8284313725490197
Codon identity,RF,3,0.7134670487106017,0.5866141732283464,0.6858490566037736,0.7900326797385621
Codon identity,RF,4,0.7276961662486564,0.5669291338582677,0.6952830188679245,0.8225674570727719
Codon identity,KNN,0,0.6703650680028633,0.4302554027504912,0.6550424128180962,0.7834967320261438
Codon identity,KNN,1,0.6716791979949874,0.4774066797642436,0.6566037735849056,0.7655228758169934
Codon identity,KNN,2,0.6831364124597207,0.48722986247544203,0.6688679245283019,0.7769607843137255
Codon identity,KNN,3,0.6762177650429799,0.5019685039370079,0.6528301886792452,0.7687908496732027
Codon identity,KNN,4,0.6911501254030813,0.49803149606299213,0.6867924528301886,0.7751430907604252
CAI,RF,0,0.6245526127415891,0.3850687622789784,0.6069745523091423,0.7393790849673203
CAI,RF,1,0.6369495166487648,0.42829076620825146,0.6037735849056604,0.7524509803921569
CAI,RF,2,0.6534192624418188,0.4911591355599214,0.6358490566037736,0.7361111111111112
CAI,RF,3,0.6504297994269341,0.46062992125984253,0.6226415094339622,0.7532679738562091
CAI,RF,4,0.6409888928699391,0.452755905511811,0.6037735849056604,0.7514309076042518
CAI,KNN,0,0.5404438081603435,0.22396856581532418,0.5560791705937794,0.6584967320261438
CAI,KNN,1,0.5363408521303258,0.26522593320235754,0.5415094339622641,0.6446078431372549
CAI,KNN,2,0.5377730039384174,0.23968565815324164,0.5528301886792453,0.6486928104575164
CAI,KNN,3,0.5365329512893983,0.25984251968503935,0.5188679245283019,0.6666666666666666
CAI,KNN,4,0.5428161949122179,0.2854330708661417,0.5245283018867924,0.6655764513491415
mRNA dG (scalar),RF,0,0.5,0.44204322200392926,0.292177191328935,0.704248366013072
mRNA dG (scalar),RF,1,0.5073397780164698,0.6031434184675835,0.3141509433962264,0.6348039215686274
mRNA dG (scalar),RF,2,0.5048335123523093,0.5284872298624754,0.3490566037735849,0.6299019607843137
mRNA dG (scalar),RF,3,0.4835243553008596,0.6220472440944882,0.2688679245283019,0.6119281045751634
mRNA dG (scalar),RF,4,0.49695449659620206,0.515748031496063,0.32169811320754715,0.6410466067048242
mRNA dG (scalar),KNN,0,0.1893342877594846,1.0,0.01885014137606032,0.0
mRNA dG (scalar),KNN,1,0.18653777300393842,0.9980353634577603,0.012264150943396227,0.0
mRNA dG (scalar),KNN,2,0.18725384890798424,1.0,0.013207547169811321,0.0
mRNA dG (scalar),KNN,3,0.19054441260744986,0.9803149606299213,0.03207547169811321,0.0
mRNA dG (scalar),KNN,4,0.1934790397706915,0.9862204724409449,0.03679245283018868,0.0
CAI + mRNA dG,RF,0,0.6152469577666428,0.3968565815324165,0.5758718190386428,0.7401960784313726
CAI + mRNA dG,RF,1,0.6258503401360545,0.4302554027504912,0.5867924528301887,0.7410130718954249
CAI + mRNA dG,RF,2,0.6179735051915503,0.42829076620825146,0.5792452830188679,0.7303921568627451
CAI + mRNA dG,RF,3,0.6239255014326648,0.468503937007874,0.5735849056603773,0.7320261437908496
CAI + mRNA dG,RF,4,0.6184163382300251,0.41141732283464566,0.5566037735849056,0.7579721995094031
CAI + mRNA dG,KNN,0,0.5540443808160344,0.28487229862475444,0.5108388312912346,0.7034313725490197
CAI + mRNA dG,KNN,1,0.5617615467239527,0.32612966601178783,0.5245283018867924,0.6919934640522876
CAI + mRNA dG,KNN,2,0.5578231292517006,0.2888015717092338,0.5424528301886793,0.6830065359477124
CAI + mRNA dG,KNN,3,0.5669770773638968,0.33661417322834647,0.5320754716981132,0.6928104575163399
CAI + mRNA dG,KNN,4,0.5646721605159442,0.32086614173228345,0.5179245283018868,0.7064595257563369
All computed,RF,0,0.6710808876163207,0.381139489194499,0.6361922714420358,0.8218954248366013
All computed,RF,1,0.6784819190834228,0.44597249508840864,0.6349056603773585,0.8129084967320261
All computed,RF,2,0.6759756534192625,0.43222003929273084,0.6283018867924528,0.8186274509803921
All computed,RF,3,0.6801575931232091,0.468503937007874,0.6405660377358491,0.8022875816993464
All computed,RF,4,0.6761017556431387,0.44291338582677164,0.629245283018868,0.8135731807031888
