feature_A,feature_B,agree_pred,both_correct,A_only_right,B_only_right,jaccard_correct,jaccard_wrong,oracle_either
Fragment identity,AA identity,0.53212060445463,0.3636038100694693,0.308816156986321,0.09675571152331161,0.4727188081936685,0.3627053792482557,0.769175678579102
Fragment identity,Codon identity,0.7896583828690109,0.6012318269712812,0.07118814008450906,0.1179545942848958,0.7606922798115259,0.5256824712643678,0.7903745613406861
Fragment identity,CAI,0.6926161999570293,0.5221657236983456,0.15025424335744467,0.11910047983957603,0.6596996018820123,0.4363009592326139,0.7915204468953664
Fragment identity,mRNA dG (scalar),0.5207333667549954,0.3802191506123326,0.2922008164434577,0.11831268352073336,0.48084412643782265,0.3376473307141206,0.7907326505765236
Fragment identity,CAI + mRNA dG,0.7029291699491513,0.5158633531476043,0.15655661390818593,0.10441882117023563,0.66405457730248,0.46094674556213017,0.7768387882260259
Fragment identity,All computed,0.8221728854830623,0.5965050490582253,0.07591491799756499,0.07985389959177827,0.792936024371668,0.61395101171459,0.7522738666475686
Fragment identity,Windowed dG (slide),0.7355152904103702,0.5531762515218792,0.11924371553391105,0.1199598940055862,0.6981200289226319,0.46465779772399424,0.7923798610613765
Fragment identity,Codon-pair bias,0.4749695624149538,0.31060660316550887,0.36181336389028146,0.0992623361741746,0.4025058004640371,0.33118637024724706,0.7716823032299649
Fragment identity,5prime ramp,0.4563489221514001,0.2939912626226456,0.37842870443314475,0.09603953305163647,0.3825722273998136,0.3279569892473118,0.7684595001074268
Fragment identity,UTR+CDS init fold,0.5054071474611473,0.3656091097901597,0.3068108572656306,0.11508988039819523,0.4642597308112041,0.33495145631067963,0.7875098474539856
Fragment identity,mRNA stability,0.5058368545441524,0.3501396548019767,0.32228031225381365,0.10463367471173816,0.4505990783410138,0.34306810667842186,0.7770536417675284
Fragment identity,Stall sites,0.478478836926162,0.33595932106280885,0.3364606459929815,0.10162572513070257,0.43403034789045153,0.34027178602243313,0.7740456921864929
AA identity,Codon identity,0.521664398768173,0.3767814939482919,0.083578027644489,0.34240492730788513,0.46935498260326525,0.3164789703516433,0.802764448900666
AA identity,CAI,0.498818305521736,0.3376781493948292,0.12268137219795174,0.3035880541430925,0.44201743695509516,0.356401384083045,0.7639475757358734
AA identity,mRNA dG (scalar),0.4213277948864857,0.25238129341831983,0.20797822817446107,0.24615054071474612,0.3572225038013178,0.3925663377718172,0.706510062307527
AA identity,CAI + mRNA dG,0.4990331590632386,0.32772326863854473,0.1326362529542362,0.29255890567929527,0.4352706173309236,0.36752956216043464,0.7529184272720763
AA identity,All computed,0.541574160280742,0.36904676645420037,0.09131275513858053,0.3073121821958032,0.48073514320365707,0.3682179341657208,0.7676717037885841
AA identity,Windowed dG (slide),0.5017546372556041,0.34791950153978374,0.1124400200529972,0.32521664398768174,0.44288449266113594,0.328830313014827,0.7855761655804626
AA identity,Codon-pair bias,0.4375850461935114,0.21743178400057295,0.24292773759220798,0.19243715533911052,0.3330773450356555,0.44367163905921114,0.6527966769318915
AA identity,5prime ramp,0.4217575019694908,0.20074482561054216,0.2596146959822388,0.18928597006373987,0.30900672472715246,0.4383512544802867,0.6496454916565209
AA identity,UTR+CDS init fold,0.41774690252811003,0.24421685884122324,0.2161426627515577,0.2364821313471317,0.35046248715313466,0.40111816545058276,0.6968416529399126
AA identity,mRNA stability,0.4213277948864857,0.23046623218506052,0.2298932894077204,0.2243070973286543,0.33661087866108785,0.40977198697068407,0.6846666189214352
AA identity,Stall sites,0.41968058440163286,0.22803122538136503,0.23232829621141587,0.20955382081214638,0.3403891383365405,0.4275906855923555,0.6699133424049273
Codon identity,CAI,0.7224808422258827,0.5551099333954022,0.16407648786077492,0.08615627014251952,0.6892841262783459,0.4375402446877012,0.8053426913986965
