feature,coef,se,z,p_value,OR
dG_cds_only,-0.32950481841351853,0.02176665698677994,-15.138053519823668,9.086342711330394e-52,0.7192798193831331
dG_cds_16_55,-0.25630633639979017,0.017945289434723156,-14.282652689003243,2.8070942595579613e-46,0.7739048572484046
avg_CAI,0.21801533447110247,0.02353544889843673,9.263274960758597,1.9825600212431842e-20,1.2436061375152268
gc_content,0.10662948826886093,0.01687541109816349,6.318630559492868,2.638912967438744e-10,1.1125219756638398
site1_TI_2,0.10585115421436914,0.01909483215372299,5.543445124953924,2.965776478813542e-08,1.1116563988214743
min_CAI,0.024672547358900843,0.023072642799928943,1.069342059028315,0.28491556526512896,1.0249794333440807
